"year","cd","type","margin_favor","margin","STATE","state_po","total_pop","hispanic_pop","non_hispanic_pop","white_nonhisp","black_nonhisp","asian_nonhisp","pop_25plus","bachelors_plus","mean_income"
2020,"AK00","Lean Rep","R",0.09137372,"Alaska","AK",733391,49824,683567,421758,20731,43449,483436,144967,98811
2020,"AL01","R","R",0.288311175,"Alabama","AL",726276,27287,698989,460759,188431,10790,492352,125748,70941
2020,"AL02","R","R",0.30540009,"Alabama","AL",693466,31622,661844,410733,211862,9386,464567,109556,67406
2020,"AL03","R","R",0.350022034,"Alabama","AL",735132,27594,707538,474834,186438,16091,480649,111414,68216
2020,"AL04","R","R",0.645588924,"Alabama","AL",702982,53410,649572,564825,46919,4380,476457,86388,63911
2020,"AL05","R","R",0.916217444,"Alabama","AL",761102,49310,711792,522888,130351,13825,504277,167296,80885
2020,"AL06","R","R",0.942599226,"Alabama","AL",740710,46158,694552,530162,120130,14753,487585,181693,96320
2020,"AL07","D","D",-0.943279201,"Alabama","AL",664611,28666,635945,207150,404028,6693,438119,94949,54432
2020,"AR01","R","R",1,"Arkansas","AR",716388,28349,688039,522936,126018,4815,495110,84527,60866
2020,"AR02","Toss Up","R",0.107316325,"Arkansas","AR",769391,53622,715769,487210,172809,13620,514429,158648,75496
2020,"AR03","R","R",0.324999551,"Arkansas","AR",839147,130309,708838,582100,23649,27195,534513,155984,79803
2020,"AR04","R","R",0.421280928,"Arkansas","AR",686598,44567,642031,471304,127408,5580,482670,83536,59632
2020,"AZ01","Lean Dem","D",-0.032203473,"Arizona","AZ",760850,163027,597823,375112,18383,12038,513173,133720,74480
2020,"AZ02","D","D",-0.10226897,"Arizona","AZ",744478,210881,533597,437157,29693,22822,514157,183462,76038
2020,"AZ03","D","D",-0.291468553,"Arizona","AZ",777554,482110,295444,201290,34340,14436,475210,82831,66178
2020,"AZ04","R","R",0.395155322,"Arizona","AZ",804323,157763,646560,573715,14558,10103,600763,122912,71227
2020,"AZ05","R","R",0.177811635,"Arizona","AZ",881025,163826,717199,585752,29821,49655,564913,210581,104482
2020,"AZ06","Toss Up","R",0.043454305,"Arizona","AZ",785858,136177,649681,533913,25870,41925,586562,264849,114044
2020,"AZ07","D","D",-0.534116404,"Arizona","AZ",788332,489107,299225,154952,81111,22287,488010,76548,63646
2020,"AZ08","R","R",0.191297782,"Arizona","AZ",837250,179114,658136,543187,37243,31051,567296,175955,89800
2020,"AZ09","D","D",-0.232529224,"Arizona","AZ",771832,210248,561584,411469,46142,44520,535972,217840,89523
2020,"CA01","R","R",0.139888853,"California","CA",701955,107907,594048,502554,9018,20531,497549,125312,79454
2020,"CA02","D","D",-0.514758653,"California","CA",718939,140833,578106,473014,10996,29695,516933,219890,125193
2020,"CA03","D","D",-0.093475533,"California","CA",762214,240538,521676,328807,44168,88495,484237,128872,94930
2020,"CA04","Likely Rep","R",0.118908109,"California","CA",768333,111622,656711,540015,10559,46436,543563,191378,110128
2020,"CA05","D","D",-0.521814509,"California","CA",727926,219338,508588,329158,44346,84442,516038,171916,110131
2020,"CA06","D","D",-0.466865103,"California","CA",787948,225995,561953,265505,91474,134553,510243,153006,82839
2020,"CA07","D","D",-0.132478221,"California","CA",786155,143548,642607,374026,54730,145405,523065,177226,104039
2020,"CA08","R","R",0.121192748,"California","CA",756547,323389,433158,300668,60991,25778,457563,78077,74649
2020,"CA09","D","D",-0.151660553,"California","CA",804018,322068,481950,231598,72327,128322,493538,105744,94638
2020,"CA10","Likely Dem","D",-0.103261552,"California","CA",767919,347351,420568,283787,24338,66141,483135,87711,88673
2020,"CA11","D","D",-0.459855233,"California","CA",767877,218363,549514,314859,60982,119914,532703,242213,144113
2020,"CA12","D","D",-0.552698719,"California","CA",771010,117282,653728,316117,40404,246046,613449,371797,169195
2020,"CA13","D","D",-0.80731386,"California","CA",780382,184750,595632,253433,118032,165021,545934,277997,124454
2020,"CA14","D","D",-0.585732397,"California","CA",746621,180385,566236,234577,18087,261535,547490,270432,167400
2020,"CA15","D","D",-0.418093323,"California","CA",796711,183759,612952,215723,39472,305055,553377,261791,154135
2020,"CA16","D","D",-0.187566039,"California","CA",751432,472537,278895,146722,38026,66955,437026,57413,66750
2020,"CA17","D","D",-0.426917696,"California","CA",783151,120515,662636,153808,14148,459318,554480,332605,174827
2020,"CA18","D","D",-0.26337323,"California","CA",749621,126145,623476,362575,13119,198173,525906,339868,209642
2020,"CA19","D","D",-0.433646299,"California","CA",747877,292651,455226,174820,20224,226296,515101,192820,141972
2020,"CA20","D","D",-0.535523766,"California","CA",744847,409928,334919,248619,12513,38981,470886,138725,109527
2020,"CA21","Toss Up","R",0.008935386,"California","CA",712137,537059,175078,106954,24994,24203,416365,39591,62480
2020,"CA22","Likely Rep","R",0.084524607,"California","CA",787793,388021,399772,273596,21072,69938,475794,123583,89229
2020,"CA23","R","R",0.242801795,"California","CA",776733,333661,443072,310113,47963,41570,477189,103429,82514
2020,"CA24","D","D",-0.17326857,"California","CA",740273,280950,459323,374304,10984,35634,472904,167866,106533
2020,"CA25","Toss Up","R",0.000982466,"California","CA",753744,316959,436785,273993,60040,64552,460215,132199,106972
2020,"CA26","D","D",-0.211697169,"California","CA",721287,330854,390433,294001,11778,51092,486789,165979,117371
2020,"CA27","D","D",-0.395514909,"California","CA",708732,197552,511180,175638,26397,281163,520818,231245,116369
2020,"CA28","D","D",-0.453133412,"California","CA",712964,170352,542612,394682,19887,92884,552997,261720,110824
2020,"CA29","D","D",-0.132243629,"California","CA",711122,471410,239712,137960,25949,56856,480858,102498,79474
2020,"CA30","D","D",-0.389655652,"California","CA",747695,218136,529559,358555,33214,97618,557521,250952,124031
2020,"CA31","D","D",-0.225764726,"California","CA",756466,414568,341898,174607,72378,63121,480845,118627,89573
2020,"CA32","D","D",-0.331552202,"California","CA",705027,432169,272858,99173,16550,139308,479554,111829,92208
2020,"CA33","D","D",-0.351603983,"California","CA",724041,95749,628292,449709,22553,106497,510667,339586,183053
2020,"CA34","D","D",-0.059596973,"California","CA",703417,415967,287450,93113,35177,137012,516409,152174,73829
2020,"CA35","D","D",-0.38659933,"California","CA",739576,516795,222781,90434,43897,67838,467015,80819,82278
2020,"CA36","D","D",-0.206789007,"California","CA",764753,389012,375741,283016,33978,26499,533612,118637,79124
2020,"CA37","D","D",-0.718799411,"California","CA",722177,276668,445509,188183,143232,73643,513984,210095,98774
2020,"CA38","D","D",-0.486827006,"California","CA",706443,445249,261194,100320,25474,113796,480446,119299,94633
2020,"CA39","Likely Dem","R",0.011952307,"California","CA",732569,250635,481934,192881,15661,244906,504607,214284,120908
2020,"CA40","D","D",-0.454783481,"California","CA",690211,601061,89150,29581,32284,16684,433924,49322,68641
2020,"CA41","D","D",-0.28060387,"California","CA",753238,466520,286718,149513,63647,43541,467364,87837,88044
2020,"CA42","R","R",0.142647542,"California","CA",811655,322193,489462,312325,45312,85094,529550,142405,113276
2020,"CA43","D","D",-0.433691498,"California","CA",727533,345256,382277,102054,148753,96088,489188,138513,89487
2020,"CA44","D","D",-0.355695121,"California","CA",710358,500688,209670,44036,103407,41141,447795,64529,75948
2020,"CA45","D","D",-0.069280063,"California","CA",813995,160295,653700,366893,13720,224101,540793,303116,143937
2020,"CA46","D","D",-0.375075702,"California","CA",702796,463592,239204,109863,12266,97414,471274,98876,89512
